Cohort,Planet,"M0","M1","M2","M3","M4","M5","M6","M7","M8","M9","M10","M11","M12","M13","M14","M15","M16","M17","M18","M19","M20","M21","M22"
May-13,Saturn,"60 ","60 ","30 ","15 ","30 ","45 ","30 ","30 ","30 ","30 ","15 ","15 ","30 ","15 ","30 ","15 ","15 ","30 ","30 ","0 ","0 ","0 ","0 "
May-13,Saturn,"1,397 ","1,265 ","1,188 ","1,111 ","1,034 ","1,034 ","979 ","935 ","891 ","869 ","913 ","836 ","825 ","825 ","792 ","759 ","759 ","726 ","682 ","0 ","0 ","0 ","0 "
May-13,Saturn,"3,500 ","3,234 ","2,926 ","2,772 ","2,632 ","2,492 ","2,408 ","2,338 ","2,184 ","2,142 ","1,960 ","1,876 ","1,792 ","1,778 ","1,638 ","1,540 ","1,554 ","1,568 ","1,498 ","0 ","0 ","0 ","0 "
May-13,Saturn,"120 ","100 ","110 ","100 ","90 ","110 ","110 ","110 ","100 ","100 ","90 ","70 ","70 ","70 ","70 ","70 ","70 ","70 ","60 ","0 ","0 ","0 ","0 "
May-13,Saturn,"585 ","525 ","480 ","510 ","525 ","495 ","465 ","450 ","420 ","435 ","405 ","375 ","375 ","360 ","360 ","390 ","345 ","330 ","345 ","0 ","0 ","0 ","0 "
May-13,Saturn,"2,665 ","2,262 ","1,950 ","1,703 ","1,521 ","1,482 ","1,417 ","1,352 ","1,287 ","1,235 ","1,235 ","1,105 ","1,040 ","1,053 ","1,053 ","1,027 ","936 ","897 ","949 ","0 ","0 ","0 ","0 "
May-13,Saturn,"405 ","315 ","270 ","225 ","195 ","165 ","150 ","150 ","150 ","165 ","165 ","150 ","165 ","150 ","135 ","135 ","150 ","135 ","135 ","0 ","0 ","0 ","0 "
May-13,Saturn,"156 ","156 ","156 ","132 ","132 ","144 ","144 ","132 ","120 ","120 ","96 ","96 ","96 ","96 ","96 ","96 ","96 ","84 ","84 ","0 ","0 ","0 ","0 "
May-13,Saturn,"30 ","30 ","30 ","30 ","15 ","15 ","15 ","15 ","15 ","15 ","15 ","15 ","15 ","15 ","15 ","15 ","15 ","0 ","0 ","0 ","0 ","0 ","0 "
May-13,Saturn,"48 ","48 ","48 ","48 ","48 ","48 ","48 ","48 ","48 ","48 ","48 ","48 ","48 ","48 ","48 ","48 ","48 ","48 ","36 ","0 ","0 ","0 ","0 "
May-13,Saturn,"770 ","600 ","600 ","530 ","490 ","420 ","390 ","350 ","380 ","330 ","330 ","320 ","340 ","310 ","270 ","290 ","230 ","250 ","230 ","0 ","0 ","0 ","0 "
May-13,Saturn,"12 ","12 ","12 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 "
May-13,Saturn,"150 ","130 ","90 ","90 ","80 ","70 ","80 ","40 ","40 ","40 ","30 ","30 ","30 ","20 ","30 ","30 ","30 ","20 ","10 ","0 ","0 ","0 ","0 "
May-13,Saturn,"126 ","117 ","117 ","117 ","108 ","108 ","108 ","108 ","108 ","108 ","108 ","99 ","99 ","99 ","99 ","99 ","90 ","99 ","90 ","0 ","0 ","0 ","0 "
May-13,Saturn,"13 ","13 ","13 ","13 ","13 ","13 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 "
May-13,Saturn,"84 ","84 ","48 ","12 ","24 ","24 ","24 ","12 ","12 ","12 ","12 ","12 ","12 ","12 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 "
